03-08 11:41:39.513  1405  1405 W A01b00/SCB: LauncherAbilityManager: mBundleStatusCallback add bundleName: com.example.myapplicationappIndex: 0
03-08 11:41:39.513  1405  1405 I A01b04/CC: Ctrl.QuickToggleController: onAbilityInfoChanged event=usual.event.PACKAGE_ADDED bundleName=com.example.myapplication userId=100
03-08 11:41:39.513  1405  1405 I A01b04/CC: Ctrl.QuickToggleController: onAbilityInfoChanged mapToggles is empty return
03-08 11:41:39.582  1405  1405 I A04200/WINDOW: SCBSSM: addOrModifyAbilityItemInfo abilityItemInfoList length: 1
03-08 11:41:39.582  1405  1405 W A01b00/SCB: MemoryCache --> delete all memory cache com.example.myapplication
03-08 11:41:39.582  1405  1405 W A01b00/SCB: MemoryCache --> delete memory cache key: com.example.myapplication#entry16777221
03-08 11:41:39.582  1405  1405 W A01b00/SCB: IconResourceManager: deletingIcons remove, bundleName:com.example.myapplication
03-08 11:41:39.582  1405  1405 I A01a01/NC: NotificationConfigManager: subscribeIconChangeEvent, launcher.event.EVENT_ICON_RESOURCE_REFRESH
03-08 11:41:39.585  1405  9169 I A01b00/SCB: GlobalContext: setContext, context is null: false
03-08 11:41:39.586  1405  9169 I A01a01/NC: NotificationConfigManager: handleIconChangeEvent, launcher.event.EVENT_ICON_RESOURCE_REFRESH, 0, com.example.myapplication
03-08 11:41:39.586  1405  9169 I A01a00/SYS_UI: TaskQueue: Add task RdbStore_query, count: 1
03-08 11:41:39.587  1405  9169 I A01a00/SYS_UI: TaskQueue: execute queueName RdbStore, task query, runningCount 1, startTime 1772941299587
03-08 11:41:39.587  1405  9169 I A01a01/NC: RdbStore: Get rdb store in 1 times begin
03-08 11:41:39.599  1405  9169 I A01a01/NC: RdbStore: await get store promise start
03-08 11:41:39.599  1405  9169 I A01a00/SYS_UI: TaskQueue: Run queue RdbStore query after 120000
03-08 11:41:39.599  1405  1405 W A01b01/HOME: ResourceManager: getAppName success from resMgr, appName:Noteability, labelId:16777221
03-08 11:41:39.599  1405  1405 I A01b00/SCB: IconResourceManager: getAppName from resourceManager params:16777221,com.example.myapplication,entry,,0, name is Noteability
03-08 11:41:39.599  1405  1405 I A01b00/SCB: LauncherAbilityManager: getLauncherAbility updateAppNameSync:Noteability
03-08 11:41:39.599  1405  1405 I A01b01/HOME: AppModel: launcher abilityInfos: [{"appName":"Noteability","bundleName":"com.example.myapplication","appIconId":16777219,"abilityName":"EntryAbility","downloadProgress":0,"appStatus":0,"appIndex":0,"intent":"","enableNewAppInstance":false,"appDistributionType":"none","isAppLocked":false,"appInstanceKey":"","isSystemApp":false,"isUninstallAble":true,"applicationIconId":16777219,"appLabelId":16777221,"applicationLabelId":16777221,"codePath":"/data/app/el1/bundle/public/com.example.myapplication","kindId":-1,"moduleName":"entry","shortcutId":"","installSource":"unknown","installTime":"Sun Mar 08 2026 11:41:39 GMT+0800","areaType":2,"bundleType":0,"keyName":"com.example.myapplicationEntryAbilityentry0"}]
03-08 11:41:39.599  1405  1405 I A01b01/HOME: FormManager: getFormsInfoByApp bundle: com.example.myapplication
03-08 11:41:39.601  1405  1405 I A01b00/SCB: SCBCategoryResourceManager: new bundle installed: com.example.myapplication
03-08 11:41:39.612  1405  1405 I A01b01/HOME: FormManager: getFormsInfoByApp bundle: com.example.myapplication
03-08 11:41:39.622  1405  1405 I A01b01/HOME: FormModel: updateSingleAppItemFormInfo
03-08 11:41:39.622  1405  1405 I A01b01/HOME: FormManager: getFormsInfoByApp bundle: com.example.myapplication
03-08 11:41:39.622  1405  1405 I A01b00/SCB: IconResourceManager: getAppNameByCache params:16777221,com.example.myapplication,entry,,undefined, name is Noteability
03-08 11:41:39.623  1405  1405 I A01b00/SCB: IconResourceManager: getCombIcon is penglai false, bundleName: com.example.myapplication, entry, EntryAbility, 0, CombIcon_AppModel, false, false
03-08 11:41:39.623  1405  1405 I A01b00/SCB: MemoryCache --> getCombIcon cacheKey com.example.myapplication#entryEntryAbility0
03-08 11:41:39.623  1405  1405 I A01b00/SCB: DbCache --> getCombIconFromDb com.example.myapplication, tableName icon_info
03-08 11:41:39.625  1405  1405 I A01b00/SCB: DbCache --> getIconResource com.example.myapplication entry EntryAbility, tableName: icon_info
03-08 11:41:39.630  1405  1405 I A01a00/SYS_UI: ExtremeOutdoorVm --> getDevicePowerMode, powerMode: 600
03-08 11:41:39.630  1405  1405 I A01a00/SYS_UI: ExtremeOutdoorVm --> isEnabledExtremeOutdoorMode: false false
03-08 11:41:39.631  1405  1405 I A01b00/SCB: DbCache --> getIconResource resultSet closed
03-08 11:41:39.631  1405  1405 W A01b00/SCB: BundleManagerFwk --> getIconResourceFromFwk for com.example.myapplication entry EntryAbility 0 false undefined false begin
03-08 11:41:39.642  1405  5177 I A01a01/NC: RdbStore: await get store promise end
03-08 11:41:39.642  1405  5177 I A01a01/NC: RdbStore: Init rdb store for AppNotificationSetting.db success
03-08 11:41:39.643  1405  5177 I A01a00/SYS_UI: TaskQueue: Run task RdbStore_query, time: 56, count: 0
03-08 11:41:39.643  1405  5177 W A01a00/SYS_UI: TaskQueue: stop run task, queueName RdbStore, isFreeze: false, runningCount: 0, tasks length: 0
03-08 11:41:39.643  1405  5177 I A01a01/NC: NotificationConfigManager: get bundle, 0
03-08 11:41:39.643  1405  5177 I A01a01/NC: NotificationConfigManager: get icon start, 0
03-08 11:41:39.644  1405  5177 I A01a00/SYS_UI: ExtremeOutdoorVm --> getDevicePowerMode, powerMode: 600
03-08 11:41:39.644  1405  5177 I A01a00/SYS_UI: ExtremeOutdoorVm --> isEnabledExtremeOutdoorMode: false false
03-08 11:41:39.644  1405  5177 W A01b00/SCB: IconResourceManager: bundleList is emptyArr
03-08 11:41:39.644  1405  5177 I A01a01/NC: NotificationConfigManager: get icon end, 0
03-08 11:41:39.645  1405  5177 I A01a01/NC: NotificationConfigManager: get icon start, 0
03-08 11:41:39.645  1405  5177 I A01a00/SYS_UI: ExtremeOutdoorVm --> getDevicePowerMode, powerMode: 600
03-08 11:41:39.645  1405  5177 I A01a00/SYS_UI: ExtremeOutdoorVm --> isEnabledExtremeOutdoorMode: false false
03-08 11:41:39.645  1405  5177 W A01b00/SCB: IconResourceManager: bundleList is emptyArr
03-08 11:41:39.645  1405  5177 I A01a01/NC: NotificationConfigManager: get icon end, 0
03-08 11:41:39.645  1405  5177 I A01a00/SYS_UI: TaskQueue: Add task RdbStore_query, count: 1
03-08 11:41:39.645  1405  5177 I A01a00/SYS_UI: TaskQueue: execute queueName RdbStore, task query, runningCount 1, startTime 1772941299645
03-08 11:41:39.645  1405  5177 I A01a01/NC: RdbStore: Get rdb store in 1 times begin
03-08 11:41:39.646  1405  5177 I A01a01/NC: RdbStore: await get store promise start
03-08 11:41:39.646  1405  5177 I A01a00/SYS_UI: TaskQueue: Run queue RdbStore query after 120000
03-08 11:41:39.646  1405  5177 I A01a01/NC: RdbStore: Close store success
03-08 11:41:39.646  1405  1405 W A01b00/SCB: CheckEmptyUtils: isEmptyPixelMap getPixelBytesNumber throw error code: 501, return false
03-08 11:41:39.646  1405  1405 I A01b01/HOME: FormModel: updateSingleAppItemFormInfoInDB
03-08 11:41:39.647  1405  1405 W A01b01/HOME: FormModel: com.example.myapplication, no cards after filter form center card
03-08 11:41:39.647  1405  1405 I A01b00/SCB: SCBCategoryResourceManager: queryAllBundleCategory, bundleNames:1
03-08 11:41:39.647  1405  1405 W A01b00/SCB: DbCache --> query from db, isPengali false bundles length 1 result length 0 resultSet 0
03-08 11:41:39.647  1405  1405 I A01b00/SCB: IconTaskManager: singleTaskSize is 1.2, task length is 1 taskInfos length 0
03-08 11:41:39.647  1405  1405 W A01b00/SCB: BundleManagerFwk --> getIconResourceFromFwkBatch begin
03-08 11:41:39.647  1405  1405 W A01b00/SCB: CheckEmptyUtils: isEmptyPixelMap getPixelBytesNumber throw error code: 501, return false
03-08 11:41:39.648  1405  9169 W A01b00/SCB: BundleManagerFwk --> getIconResource from bms getLauncherAbilityResourceInfo for com.example.myapplication 0
03-08 11:41:39.652  1405  9470 W A01b00/SCB: IconResourceUtils: getIconResource from bms getBundleResourceInfo for com.example.myapplication 0
03-08 11:41:39.657  5408  9230 I A06666/AppGallery: random:1772941826570, index:0,[BundleManagerEx]:start get all installed bundle info for all user in taskPool.
03-08 11:41:39.720  1405  9470 W A01b00/SCB: GraphicUtils --> getHdsLayeredIcon bundleName: com.example.myapplication
03-08 11:41:39.721  1405  9470 W A01b00/SCB: GraphicUtils --> com.example.myapplication Layered background Image, size: (512, 512), pixelFormat: 4, leftTopPixel is transparent: false, 245-121-44-254
03-08 11:41:39.721  1405  9470 W A01b00/SCB: GraphicUtils --> com.example.myapplication Layered foreground Image, size: (512, 512), pixelFormat: 4, leftTopPixel is transparent: true, 0-0-0-0
03-08 11:41:39.741  1405  1405 I A01a00/SYS_UI: [a92abfeff2d9c5e, 1209685, 1a03883] AppLifeCycleManager: StateChanged, state is not page com.huawei.hmsapp.appgallery_service_AppFoundationService_5408
03-08 11:41:39.742  1405  9169 W A01b00/SCB: GraphicUtils --> getHdsLayeredIcon bundleName: com.example.myapplication
03-08 11:41:39.742  1405  9169 W A01b00/SCB: GraphicUtils --> com.example.myapplication Layered background Image, size: (512, 512), pixelFormat: 4, leftTopPixel is transparent: false, 245-121-44-254
03-08 11:41:39.742  1405  9169 W A01b00/SCB: GraphicUtils --> com.example.myapplication Layered foreground Image, size: (512, 512), pixelFormat: 4, leftTopPixel is transparent: true, 0-0-0-0
03-08 11:41:39.751  5408  5408 I A00000/moduleframework: [a92abfeff2d9c5e, 2070696, 19b8ca9] save module cache:appInstall4Developer
03-08 11:41:39.780  5408  9385 I A06666/AppGallery: random:1772941806118, index:0,[BundleManagerEx]:BundleInfoHelper-generateAppIdMap getAllBundleInfo for any user, bundleArray size:57
03-08 11:41:39.818  1405  9169 W A01b00/SCB: GraphicUtils --> combinePic from HdsLayeredIcon, bundleName: com.example.myapplication, iconSizeOfGrid: 42.666666666666664, hasBorder: true
03-08 11:41:39.845  1405 28500 I A01a01/NC: RdbStore: await get store promise end
03-08 11:41:39.845  1405 28500 I A01a01/NC: RdbStore: Init rdb store for AppNotificationSetting.db success
03-08 11:41:39.849  1405 28500 I A01a00/SYS_UI: TaskQueue: Run task RdbStore_query, time: 204, count: 0
03-08 11:41:39.850  1405 28500 W A01a00/SYS_UI: TaskQueue: stop run task, queueName RdbStore, isFreeze: false, runningCount: 0, tasks length: 0
03-08 11:41:39.858  1405  9469 W A01b00/SCB: GraphicUtils --> combinePic from HdsLayeredIcon, bundleName: com.example.myapplication, iconSizeOfGrid: 58, hasBorder: false
03-08 11:41:39.863  1405  1405 W A01b00/SCB: BundleManagerFwk --> getIconResourceFromFwkBatch end
